show-chosen-shop?,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,
[reporter],[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1
,1055,32,34,3687,48,42.2,1223,38,34,3554,42,42.2,1167,39,34,3102.8,39,42.2,1822,43,36,2627,37,41.8,1722,46,36,2591,34,41.8,2118,48,36,2590.6,32,41.8,2005,45,36,3016,35,41.8,2152,48,36,2449,32,41.8
,1079,32,34,3833.4,48,42.2,1255,38,34,3590.6,42,42.2,1207,39,34,3212.6,41,42.2,1882,43,36,2733.2,37,41.8,1770,46,36,2685.4,34,41.8,2166,48,36,2649.6,32,41.8,2077,45,36,3063.2,35,41.8,2206,48,36,2543.4,32,41.8
,1115,32,33,3918.8,48,42.2,1287,38,33,3724.8,42,42.2,1231,39,33,3285.8,41,42.2,1936,43,37,2768.6,37,41.8,1800,46,37,2756.2,34,41.8,2238,48,37,2744,32,41.8,2143,45,37,3193,35,41.8,2284,48,37,2602.4,32,41.8
,1115,33,33,3918.8,47,42.2,1287,38,33,3724.8,42,42.2,1231,39,33,3285.8,41,42.2,1936,43,37,2768.6,37,41.8,1800,46,37,2756.2,34,41.8,2238,48,37,2744,32,41.8,2143,45,37,3193,35,41.8,2284,48,37,2602.4,32,41.8
,1196,33,33,4321.4,47,42.2,1386,38,33,4139.6,42,42.2,1324,39,33,3688.4,40,42.2,2195,43,37,3087.2,37,41.8,2031,46,37,3098.4,34,41.8,2511,48,37,3027.2,32,41.8,2402,45,37,3535.2,35,41.8,2550,48,37,2885.6,32,41.8
,1214,33,33,4492.2,47,42.2,1401,38,33,4237.2,42,42.2,1348,39,33,3761.6,40,42.2,2237,43,37,3205.2,37,41.8,2122,46,37,3157.4,34,41.8,2574,48,37,3121.6,32,41.8,2458,45,37,3606,35,41.8,2620,48,37,2980,32,41.8
,1241,33,33,4577.6,47,42.2,1425,38,33,4371.4,42,42.2,1366,39,33,3834.8,41,42.2,2300,43,37,3240.6,37,41.8,2157,46,37,3228.2,34,41.8,2658,48,37,3216,32,41.8,2535,45,37,3735.8,35,41.8,2711,48,37,3039,32,41.8
,1262,33,33,4711.8,47,42.2,1449,38,33,4408,42,42.2,1396,39,33,3944.6,41,42.2,2370,43,37,3346.8,37,41.8,2213,46,37,3322.6,34,41.8,2714,48,37,3275,32,41.8,2619,45,37,3783,35,41.8,2774,48,37,3133.4,32,41.8
,1304,33,33,4870.4,47,42.2,1509,38,33,4725.2,42,42.2,1432,39,33,4152,40,42.2,2482,43,37,3476.6,37,41.8,2297,46,37,3464.2,34,41.8,2875,48,37,3440.2,32,41.8,2738,45,37,4030.8,35,41.8,2921,48,37,3263.2,32,41.8
,1304,33,33,4870.4,47,42.2,1509,38,33,4725.2,42,42.2,1432,39,33,4152,41,42.2,2482,43,37,3476.6,37,41.8,2297,46,37,3464.2,34,41.8,2875,48,37,3440.2,32,41.8,2738,45,37,4030.8,35,41.8,2921,48,37,3263.2,32,41.8
,1388,33,33,5370.6,47,42.2,1587,38,33,5054.6,42,42.2,1531,39,33,4493.6,40,42.2,2734,43,37,3818.8,37,41.8,2570,46,37,3794.6,34,41.8,3134,48,37,3747,32,41.8,3011,45,37,4325.8,35,41.8,3201,48,37,3570,32,41.8
,1388,33,33,5370.6,47,42.2,1587,38,33,5054.6,42,42.2,1531,39,33,4493.6,41,42.2,2734,43,37,3818.8,37,41.8,2570,46,37,3794.6,34,41.8,3134,48,37,3747,32,41.8,3011,45,37,4325.8,35,41.8,3201,48,37,3570,32,41.8
,1430,33,33,5529.2,47,42.2,1647,38,33,5371.8,42,42.2,1567,39,33,4701,40,42.2,2846,43,37,3948.6,37,41.8,2654,46,37,3936.2,34,41.8,3295,48,37,3912.2,32,41.8,3130,45,37,4573.6,35,41.8,3348,48,37,3699.8,32,41.8
,1451,33,32,5663.4,47,42.2,1671,38,32,5408.4,42,42.2,1597,39,32,4810.8,41,42.2,2916,43,38,4054.8,37,41.8,2710,46,38,4030.6,34,41.8,3351,48,38,3971.2,32,41.8,3214,45,38,4620.8,35,41.8,3411,48,38,3794.2,32,41.8
,1469,33,32,5748.8,47,42.2,1689,39,32,5530.4,41,42.2,1609,39,32,4884,41,42.2,2988,43,38,4090.2,37,41.8,2750,46,38,4101.4,34,41.8,3447,47,38,4065.6,33,41.8,3302,45,38,4750.6,35,41.8,3515,48,38,3853.2,32,41.8
,1481,33,32,5919.6,47,42.2,1699,39,32,5628,41,42.2,1625,39,32,4957.2,40,42.2,3036,43,38,4208.2,37,41.8,2854,46,38,4160.4,34,41.8,3519,47,38,4160,33,41.8,3366,45,38,4821.4,35,41.8,3595,48,38,3947.6,32,41.8
,1535,33,32,6322.2,47,42.2,1767,39,32,6030.6,41,42.2,1687,39,32,5359.8,40,42.2,3332,43,38,4526.8,37,41.8,3118,46,38,4502.6,34,41.8,3823,47,38,4455,33,41.8,3662,45,38,5163.6,35,41.8,3899,48,38,4230.8,32,41.8
,1535,33,32,6322.2,47,42.2,1767,39,32,6030.6,41,42.2,1687,39,32,5359.8,41,42.2,3332,43,38,4526.8,37,41.8,3118,46,38,4502.6,34,41.8,3823,47,38,4455,33,41.8,3662,45,38,5163.6,35,41.8,3899,48,38,4230.8,32,41.8
,1553,33,32,6407.6,47,42.2,1785,39,32,6152.6,41,42.2,1699,39,32,5433,41,42.2,3404,43,38,4562.2,37,41.8,3158,46,38,4573.4,34,41.8,3919,47,38,4549.4,33,41.8,3750,45,38,5293.4,35,41.8,4003,48,38,4289.8,32,41.8
,1567,33,32,6541.8,47,42.2,1801,39,32,6189.2,41,42.2,1719,39,32,5542.8,41,42.2,3484,43,38,4668.4,37,41.8,3222,46,38,4667.8,34,41.8,3983,47,38,4608.4,33,41.8,3846,45,38,5340.6,35,41.8,4075,48,38,4384.2,32,41.8
,1607,33,32,6871.2,47,42.2,1853,39,32,6591.8,41,42.2,1759,39,32,5823.4,39,42.2,3660,43,38,4916.2,37,41.8,3422,46,38,4868.4,34,41.8,4239,47,38,4868,33,41.8,4046,45,38,5659.2,35,41.8,4323,48,38,4608.4,32,41.8
,1607,33,32,6871.2,47,42.2,1853,39,32,6591.8,41,42.2,1759,39,32,5823.4,41,42.2,3660,43,38,4916.2,37,41.8,3422,46,38,4868.4,34,41.8,4239,47,38,4868,33,41.8,4046,45,38,5659.2,35,41.8,4323,48,38,4608.4,32,41.8
,1651,33,32,7200.6,47,42.2,1897,39,32,6811.4,41,42.2,1809,39,32,6091.8,41,42.2,3900,43,38,5140.4,37,41.8,3630,46,38,5139.8,34,41.8,4455,47,38,5092.2,33,41.8,4294,45,38,5883.4,35,41.8,4563,48,38,4820.8,32,41.8
,1651,33,32,7200.6,47,42.2,1897,39,32,6811.4,41,42.2,1809,39,32,6091.8,41,42.2,3900,43,38,5140.4,37,41.8,3630,46,38,5139.8,34,41.8,4455,47,38,5092.2,33,41.8,4294,45,38,5883.4,35,41.8,4563,48,38,4820.8,32,41.8
,1679,33,31,7359.2,47,42.2,1939,39,31,7116.4,41,42.2,1833,39,31,6299.2,40,42.2,4028,43,39,5270.2,37,41.8,3726,46,39,5281.4,34,41.8,4639,47,39,5257.4,33,41.8,4430,45,39,6131.2,35,41.8,4731,48,39,4950.6,32,41.8
,1692,33,31,7664.2,47,42.2,1952,39,31,7250.6,41,42.2,1851,39,31,6482.2,40,42.2,4172,43,39,5494.4,37,41.8,3915,45,39,5434.8,35,41.8,4792,47,39,5410.8,33,41.8,4610,45,39,6249.2,35,41.8,4902,48,39,5139.4,32,41.8
,1701,33,31,7749.6,47,42.2,1961,39,31,7372.6,41,42.2,1857,39,31,6555.4,41,42.2,4253,43,39,5529.8,37,41.8,3960,45,39,5505.6,35,41.8,4900,47,39,5505.2,33,41.8,4709,45,39,6379,35,41.8,5019,48,39,5198.4,32,41.8
,1701,33,31,7749.6,47,42.2,1961,39,31,7372.6,41,42.2,1857,39,31,6555.4,41,42.2,4253,43,39,5529.8,37,41.8,3960,45,39,5505.6,35,41.8,4900,47,39,5505.2,33,41.8,4709,45,39,6379,35,41.8,5019,48,39,5198.4,32,41.8
,1728,33,31,8152.2,47,42.2,1995,39,31,7775.2,41,42.2,1888,39,31,6958,40,42.2,4586,43,39,5848.4,37,41.8,4248,45,39,5859.6,35,41.8,5242,47,39,5800.2,33,41.8,5042,45,39,6721.2,35,41.8,5361,48,39,5481.6,32,41.8
,1728,33,31,8152.2,47,42.2,1995,39,31,7775.2,41,42.2,1888,39,31,6958,41,42.2,4586,43,39,5848.4,37,41.8,4248,45,39,5859.6,35,41.8,5242,47,39,5800.2,33,41.8,5042,45,39,6721.2,35,41.8,5361,48,39,5481.6,32,41.8
,1743,33,31,8408.4,47,42.2,2009,39,31,7994.8,41,42.2,1902,39,31,7104.4,40,42.2,4721,43,39,6001.8,37,41.8,4410,45,39,5989.4,35,41.8,5431,47,39,5989,33,41.8,5213,45,39,6921.8,35,41.8,5568,48,39,5635,32,41.8
,1750,33,31,8542.6,47,42.2,2017,39,31,8031.4,41,42.2,1912,39,31,7214.2,41,42.2,4811,43,39,6108,37,41.8,4482,45,39,6083.8,35,41.8,5503,47,39,6048,33,41.8,5321,45,39,6969,35,41.8,5649,48,39,5729.4,32,41.8
