"[reporter]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
,"4290","44","38","4962.000000000039","36","41.8","4135","41","38","5269.800000000044","39","41.8","4076","47","38","4891.200000000038","33","41.8","4425","44","38","5918.600000000054","36","41.8"
,"4290","44","38","4962.000000000039","36","41.8","4135","41","38","5269.800000000044","39","41.8","4076","47","38","4891.200000000038","33","41.8","4425","44","38","5918.600000000054","36","41.8"
,"4442","44","39","5115.4000000000415","36","41.8","4295","41","39","5423.200000000046","39","41.8","4236","47","39","5044.60000000004","33","41.8","4593","44","39","6107.400000000057","36","41.8"
,"4568","39","39","5304.200000000044","41","41.8","4412","38","39","5600.200000000049","42","41.8","4389","41","39","5209.800000000043","39","41.8","4692","42","39","6260.800000000059","38","41.8"
,"4631","39","39","5386.800000000046","41","41.8","4502","38","39","5694.60000000005","42","41.8","4425","41","39","5316.000000000045","39","41.8","4827","42","39","6402.4000000000615","38","41.8"
,"4631","39","39","5386.800000000046","41","41.8","4502","38","39","5694.60000000005","42","41.8","4425","41","39","5316.000000000045","39","41.8","4827","42","39","6402.4000000000615","38","41.8"
,"4946","39","39","5811.600000000052","41","41.8","4781","38","39","6107.600000000057","42","41.8","4695","41","39","5729.000000000051","39","41.8","5142","42","39","6791.8000000000675","38","41.8"
,"4946","39","39","5811.600000000052","41","41.8","4781","38","39","6107.600000000057","42","41.8","4695","41","39","5729.000000000051","39","41.8","5142","42","39","6791.8000000000675","38","41.8"
,"5045","39","39","5953.200000000054","41","41.8","4934","38","39","6284.6000000000595","42","41.8","4830","41","39","5882.400000000053","39","41.8","5340","42","39","6992.400000000071","38","41.8"
,"5135","39","39","6083.000000000056","41","41.8","4988","38","39","6379.000000000061","42","41.8","4884","41","39","6000.400000000055","39","41.8","5376","42","39","7086.800000000072","38","41.8"
,"5261","39","39","6295.40000000006","41","41.8","5150","38","39","6556.000000000064","42","41.8","5028","41","39","6201.000000000058","39","41.8","5556","42","39","7287.400000000075","38","41.8"
,"5261","39","39","6295.40000000006","41","41.8","5150","38","39","6556.000000000064","42","41.8","5028","41","39","6201.000000000058","39","41.8","5556","42","39","7287.400000000075","38","41.8"
,"5513","39","39","6590.400000000064","41","41.8","5357","38","39","6886.400000000069","42","41.8","5190","41","39","6519.600000000063","39","41.8","5826","42","39","7617.80000000008","38","41.8"
,"5549","39","38","6649.400000000065","41","41.8","5420","38","38","6969.00000000007","42","41.8","5289","41","40","6566.800000000064","39","41.8","5889","42","40","7676.800000000081","38","41.8"
,"5701","44","38","6802.8000000000675","36","41.8","5580","41","38","7122.400000000072","39","41.8","5439","38","40","6779.200000000067","42","41.8","6069","39","40","7901.000000000085","41","41.8"
,"5781","44","38","6932.6000000000695","36","41.8","5628","41","38","7216.800000000074","39","41.8","5499","38","40","6897.200000000069","42","41.8","6109","39","40","7995.400000000086","41","41.8"
,"5861","44","38","6979.80000000007","36","41.8","5724","41","38","7287.600000000075","39","41.8","5539","38","40","7003.400000000071","42","41.8","6239","39","40","8160.600000000089","41","41.8"
,"5861","44","38","6979.80000000007","36","41.8","5724","41","38","7287.600000000075","39","41.8","5539","38","40","7003.400000000071","42","41.8","6239","39","40","8160.600000000089","41","41.8"
,"6213","44","38","7404.600000000077","36","41.8","6052","41","38","7747.800000000082","39","41.8","5919","38","40","7499.000000000078","42","41.8","6629","39","40","8644.40000000006","41","41.8"
,"6213","44","38","7404.600000000077","36","41.6","6052","41","38","7747.800000000082","39","41.6","5919","38","40","7499.000000000078","42","41.6","6629","39","40","8644.40000000006","41","41.6"
,"6293","44","38","7451.000000000078","36","41.6","6148","41","38","7817.400000000084","39","41.6","5959","38","40","7603.4000000000815","42","41.6","6759","39","40","8806.800000000065","41","41.6"
,"6373","44","38","7578.600000000082","36","41.6","6196","41","38","7910.200000000087","39","41.6","6019","38","40","7719.400000000085","42","41.6","6799","39","40","8899.600000000068","41","41.6"
,"6525","44","38","7729.400000000087","36","41.6","6356","41","38","8061.000000000092","39","41.6","6169","38","40","7928.200000000092","42","41.6","6979","39","40","9120.000000000075","41","41.6"
,"6557","44","38","7787.400000000089","36","41.6","6412","41","38","8142.200000000094","39","41.6","6259","38","40","7997.800000000094","42","41.6","7039","39","40","9189.600000000077","41","41.6"
,"6805","44","39","8042.600000000097","36","41.6","6620","41","39","8432.200000000103","39","41.6","6439","38","39","8311.000000000104","42","41.6","7319","39","39","9537.600000000088","41","41.6"
,"6805","39","39","8042.600000000097","41","41.6","6620","38","39","8432.200000000103","42","41.6","6439","41","39","8311.000000000104","39","41.6","7319","41","39","9537.600000000088","39","41.6"
,"6931","39","39","8251.400000000103","41","41.6","6782","38","39","8606.200000000108","42","41.6","6583","41","39","8508.20000000011","39","41.6","7490","41","39","9746.400000000094","39","41.6"
,"7021","39","39","8379.000000000107","41","41.6","6836","38","39","8699.000000000111","42","41.6","6637","41","39","8624.200000000114","39","41.6","7526","41","39","9839.200000000097","39","41.6"
,"7120","39","39","8518.200000000112","41","41.6","6989","38","39","8873.000000000116","42","41.6","6772","41","39","8775.000000000118","39","41.6","7715","41","39","10048.000000000104","39","41.6"
,"7120","39","39","8518.200000000112","41","41.6","6989","38","39","8873.000000000116","42","41.6","6772","41","39","8775.000000000118","39","41.6","7715","41","39","10048.000000000104","39","41.6"
,"7435","39","39","8935.800000000125","41","41.6","7268","38","39","9279.00000000013","42","41.6","7042","41","39","9181.000000000131","39","41.6","8021","41","39","10442.400000000116","39","41.6"
,"7435","39","39","8935.800000000125","41","41.6","7268","38","39","9279.00000000013","42","41.6","7042","41","39","9181.000000000131","39","41.6","8021","41","39","10442.400000000116","39","41.6"
,"7498","39","39","9017.000000000127","41","41.6","7358","38","39","9371.800000000132","42","41.6","7078","41","39","9285.400000000134","39","41.6","8147","41","39","10593.20000000012","39","41.6"
,"7624","39","39","9202.600000000133","41","41.6","7475","38","39","9545.800000000138","42","41.6","7231","41","39","9447.80000000014","39","41.6","8246","41","39","10744.000000000126","39","41.6"
,"7750","39","39","9411.40000000014","41","41.6","7637","38","39","9719.800000000143","42","41.6","7375","41","39","9645.000000000146","39","41.6","8417","41","39","10952.800000000132","39","41.6"
,"7750","39","38","9411.40000000014","41","41.6","7637","38","38","9719.800000000143","42","41.6","7375","41","38","9645.000000000146","39","41.6","8417","41","38","10952.800000000132","39","41.6"
,"7998","44","38","9666.600000000148","36","41.6","7845","41","38","10009.800000000152","39","41.6","7543","46","38","9923.400000000154","34","41.6","8673","44","38","11254.400000000142","36","41.6"
,"7998","44","38","9666.600000000148","36","41.6","7845","41","38","10009.800000000152","39","41.6","7543","46","38","9923.400000000154","34","41.6","8673","44","38","11254.400000000142","36","41.6"
,"8182","44","38","9875.400000000154","36","41.6","8061","41","38","10241.80000000016","39","41.6","7799","46","38","10109.00000000016","34","41.6","8897","44","38","11498.00000000015","36","41.6"
,"8262","44","38","10003.000000000158","36","41.6","8109","41","38","10334.600000000162","39","41.6","7847","46","38","10225.000000000164","34","41.6","8937","44","38","11579.200000000152","36","41.6"
,"8342","44","38","10049.40000000016","36","41.6","8205","41","38","10404.200000000164","39","41.6","7903","46","38","10294.600000000166","34","41.6","9065","44","38","11706.800000000156","36","41.6"
,"8342","44","38","10049.40000000016","36","41.6","8205","41","38","10404.200000000164","39","41.6","7903","46","38","10294.600000000166","34","41.6","9065","44","38","11706.800000000156","36","41.6"
,"8662","44","38","10409.000000000171","36","41.6","8477","41","38","10775.400000000176","39","41.6","8175","46","38","10654.200000000177","34","41.6","9361","44","38","12066.400000000167","36","41.6"
,"8694","44","38","10467.000000000173","36","41.6","8533","41","38","10856.600000000179","39","41.6","8271","46","38","10689.000000000178","34","41.6","9417","44","38","12124.400000000169","36","41.6"
,"8774","44","38","10513.400000000174","36","41.6","8629","41","38","10926.20000000018","39","41.6","8327","46","38","10758.60000000018","34","41.6","9545","44","38","12252.000000000173","36","41.6"
,"8854","44","38","10641.000000000178","36","41.6","8677","41","38","11019.000000000184","39","41.6","8375","46","38","10874.600000000184","34","41.6","9585","44","38","12333.200000000175","36","41.6"
,"9006","44","39","10791.800000000183","36","41.6","8837","41","39","11169.800000000188","39","41.6","8535","46","39","11025.400000000189","34","41.6","9753","44","39","12518.800000000181","36","41.6"
,"9006","39","39","10791.800000000183","41","41.6","8837","38","39","11169.800000000188","42","41.6","8535","41","39","11025.400000000189","39","41.6","9753","41","39","12518.800000000181","39","41.6"
,"9294","39","39","11139.800000000194","41","41.6","9107","38","39","11575.800000000201","42","41.6","8796","41","39","11385.0000000002","39","41.6","10077","41","39","12913.200000000194","39","41.6"
,"9294","39","39","11139.800000000194","41","41.6","9107","38","39","11575.800000000201","42","41.6","8796","41","39","11385.0000000002","39","41.6","10077","41","39","12913.200000000194","39","41.6"
,"9420","39","39","11348.6000000002","41","41.6","9269","38","39","11749.800000000207","42","41.6","8940","41","39","11582.200000000206","39","41.6","10248","41","39","13122.0000000002","39","41.6"
,"9510","39","39","11476.200000000204","41","41.6","9323","38","39","11842.60000000021","42","41.6","8994","41","39","11698.20000000021","39","41.6","10284","41","39","13214.800000000203","39","41.6"
,"9573","39","39","11557.400000000207","41","41.6","9413","38","39","11935.400000000212","42","41.6","9030","41","39","11802.600000000213","39","41.6","10410","41","39","13365.600000000208","39","41.6"
,"9609","39","39","11615.400000000209","41","41.6","9476","38","39","12016.600000000215","42","41.6","9129","41","39","11849.000000000215","39","41.6","10473","41","39","13423.60000000021","39","41.6"
,"9924","39","39","12033.000000000222","41","41.6","9755","38","39","12422.600000000228","42","41.6","9399","41","39","12255.000000000227","39","41.6","10779","41","39","13818.000000000222","39","41.6"
,"9924","39","39","12033.000000000222","41","41.6","9755","38","39","12422.600000000228","42","41.6","9399","41","39","12255.000000000227","39","41.6","10779","41","39","13818.000000000222","39","41.6"
,"9987","39","39","12114.200000000224","41","41.6","9845","38","39","12515.40000000023","42","41.6","9435","41","39","12359.40000000023","39","41.6","10905","41","39","13968.800000000227","39","41.6"
,"10077","39","38","12241.800000000228","41","41.6","9899","38","38","12608.200000000234","42","41.6","9489","41","40","12475.400000000234","39","41.6","10941","41","40","14061.60000000023","39","41.6"
,"10261","44","38","12450.600000000235","36","41.6","10115","41","38","12840.20000000024","39","41.6","9729","38","40","12753.800000000243","42","41.6","11181","39","40","14351.600000000239","41","41.6"
,"10261","44","38","12450.600000000235","36","41.6","10115","41","38","12840.20000000024","39","41.6","9729","38","40","12753.800000000243","42","41.6","11181","39","40","14351.600000000239","41","41.6"
,"10509","44","38","12705.800000000243","36","41.6","10323","41","38","13130.20000000025","39","41.6","9909","38","40","13067.000000000253","42","41.6","11461","39","40","14699.60000000025","41","41.6"
,"10509","44","38","12705.800000000243","36","41.6","10323","41","38","13130.20000000025","39","41.6","9909","38","40","13067.000000000253","42","41.6","11461","39","40","14699.60000000025","41","41.6"
,"10661","44","38","12856.600000000248","36","41.6","10483","41","38","13281.000000000255","39","41.6","10059","38","40","13275.80000000026","42","41.6","11641","39","40","14920.000000000256","41","41.6"
,"10773","44","38","13042.200000000254","36","41.6","10587","41","38","13455.00000000026","39","41.6","10209","38","40","13461.400000000265","42","41.6","11741","39","40","15082.400000000262","41","41.6"
,"10853","44","38","13088.600000000255","36","41.6","10683","41","38","13524.600000000262","39","41.6","10249","38","40","13565.800000000268","42","41.6","11871","39","40","15244.800000000267","41","41.6"
,"10853","44","38","13088.600000000255","36","41.6","10683","41","38","13524.600000000262","39","41.6","10249","38","40","13565.800000000268","42","41.6","11871","39","40","15244.800000000267","41","41.6"
,"11173","44","38","13448.200000000266","36","41.6","10955","41","38","13895.800000000274","39","41.6","10539","38","40","13983.400000000282","42","41.6","12201","39","40","15650.80000000028","41","41.6"
,"11173","44","38","13448.200000000266","36","41.6","10955","41","38","13895.800000000274","39","41.6","10539","38","40","13983.400000000282","42","41.6","12201","39","40","15650.80000000028","41","41.6"
,"11285","44","39","13552.60000000027","36","41.6","11107","41","39","14046.600000000279","39","41.6","10669","38","39","14157.400000000287","42","41.6","12391","39","39","15882.800000000287","41","41.6"
,"11375","39","39","13680.200000000274","41","41.6","11161","38","39","14139.400000000282","42","41.6","10723","41","39","14273.40000000029","39","41.6","12427","41","39","15975.60000000029","39","41.6"
,"11501","39","39","13889.00000000028","41","41.6","11323","38","39","14313.400000000287","42","41.6","10867","41","39","14470.600000000297","39","41.6","12598","41","39","16184.400000000296","39","41.6"
,"11501","39","39","13889.00000000028","41","41.6","11323","38","39","14313.400000000287","42","41.6","10867","41","39","14470.600000000297","39","41.6","12598","41","39","16184.400000000296","39","41.6"
,"11753","39","39","14179.00000000029","41","41.6","11530","38","39","14638.200000000297","42","41.6","11029","41","39","14783.800000000307","39","41.6","12859","41","39","16520.80000000028","39","41.6"
,"11789","39","39","14237.000000000291","41","41.6","11593","38","39","14719.4000000003","42","41.6","11128","41","39","14830.200000000308","39","41.6","12922","41","39","16578.800000000272","39","41.6"
,"11915","39","39","14445.800000000298","41","41.6","11755","38","39","14893.400000000305","42","41.6","11272","41","39","15027.400000000314","39","41.6","13093","41","39","16787.600000000246","39","41.6"
,"12005","39","39","14573.400000000302","41","41.6","11809","38","39","14986.200000000308","42","41.6","11326","41","39","15143.400000000318","39","41.6","13129","41","39","16880.400000000234","39","41.6"
,"12068","39","39","14654.600000000304","41","41.6","11899","38","39","15079.000000000311","42","41.6","11362","41","39","15247.800000000321","39","41.6","13255","41","39","17031.200000000215","39","41.6"
,"12068","39","39","14654.600000000304","41","41.6","11899","38","39","15079.000000000311","42","41.6","11362","41","39","15247.800000000321","39","41.6","13255","41","39","17031.200000000215","39","41.6"
,"12419","39","39","15130.200000000319","41","41.6","12241","38","39","15566.200000000326","42","41.6","11731","41","39","15700.200000000335","39","41.6","13624","41","39","17483.60000000016","39","41.6"
,"12419","39","38","15130.200000000319","41","41.6","12241","38","38","15566.200000000326","42","41.6","11731","41","38","15700.200000000335","39","41.6","13624","41","38","17483.60000000016","39","41.6"
